name,stars,language,description,url,updated_at
codecrafters-io/build-your-own-x,438609,Markdown,Master programming by recreating your favorite technologies from scratch.,https://github.com/codecrafters-io/build-your-own-x,2025-11-16T01:04:04Z
freeCodeCamp/freeCodeCamp,432208,TypeScript,"freeCodeCamp.org's open-source codebase and curriculum. Learn math, programming, and computer scienc",https://github.com/freeCodeCamp/freeCodeCamp,2025-11-16T00:58:30Z
sindresorhus/awesome,414947,N/A,ðŸ˜Ž Awesome lists about all kinds of interesting topics,https://github.com/sindresorhus/awesome,2025-11-16T00:55:14Z
public-apis/public-apis,378664,Python,A collective list of free APIs,https://github.com/public-apis/public-apis,2025-11-16T00:30:04Z
EbookFoundation/free-programming-books,376902,Python,:books: Freely available programming books,https://github.com/EbookFoundation/free-programming-books,2025-11-15T23:53:24Z
kamranahmedse/developer-roadmap,343651,TypeScript,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",https://github.com/kamranahmedse/developer-roadmap,2025-11-16T01:01:14Z
jwasham/coding-interview-university,333361,N/A,A complete computer science study plan to become a software engineer.,https://github.com/jwasham/coding-interview-university,2025-11-16T00:47:41Z
donnemartin/system-design-primer,326534,Python,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashc,https://github.com/donnemartin/system-design-primer,2025-11-16T00:09:33Z
996icu/996.ICU,274814,N/A,Repo for counting stars and contributing. Press F to pay respect to glorious developers.,https://github.com/996icu/996.ICU,2025-11-16T00:50:22Z
vinta/awesome-python,269488,Python,"An opinionated list of awesome Python frameworks, libraries, software and resources.",https://github.com/vinta/awesome-python,2025-11-16T01:01:55Z
